,Pan_ID,PLU,0
790,161.0,46000060270,17
791,161.0,46000062848,1
792,161.0,46000063050,1
793,161.0,46000063819,3
794,161.0,46000064443,1
795,161.0,46000064603,11
796,161.0,46000064878,4
797,161.0,46000064884,1
798,161.0,46000064903,1
799,161.0,46000064940,40
800,161.0,46000065008,1
801,161.0,48000006773,7
802,162.0,00449791900,1
803,162.0,27110600000,1
804,162.0,27848700000,1
805,162.0,28452000000,3
806,162.0,46000003326,3
807,162.0,46000006607,4
808,162.0,46000007582,2
809,162.0,46000008060,1
810,162.0,46000010510,4
811,162.0,46000013171,3
812,162.0,46000016104,3
813,162.0,46000018073,5
814,162.0,46000018075,2
815,162.0,46000018118,10
816,162.0,46000019851,2
817,162.0,46000020768,1
818,162.0,46000022022,2
819,162.0,46000024076,1
820,162.0,46000024575,1
821,162.0,46000024761,2
822,162.0,46000025411,1
823,162.0,46000028877,4
824,162.0,46000028906,1
825,162.0,46000028908,2
826,162.0,46000028911,1
827,162.0,46000028992,2
828,162.0,46000028993,2
829,162.0,46000028994,2
830,162.0,46000028995,5
831,162.0,46000028996,2
832,162.0,46000029060,1
833,162.0,46000029306,1
834,162.0,46000029434,2
835,162.0,46000029504,1
836,162.0,46000055729,4
837,162.0,46000055733,2
838,162.0,46000055736,6
839,162.0,46000055768,1
840,162.0,46000055793,9
841,162.0,46000055807,10
842,162.0,46000055812,1
843,162.0,46000055820,4
844,162.0,46000055832,1
845,162.0,46000055834,1
846,162.0,46000055848,3
847,162.0,46000055863,2
848,162.0,46000055892,10
849,162.0,46000055903,2
850,162.0,46000055911,4
851,162.0,46000055914,3
852,162.0,46000055923,1
853,162.0,46000055930,15
854,162.0,46000055943,2
855,162.0,46000056506,10
856,162.0,46000059365,4
857,162.0,46000059425,5
858,162.0,46000059666,8
859,162.0,46000059671,6
860,162.0,46000060011,3
861,162.0,46000060414,1
862,162.0,46000060630,10
863,162.0,46000060727,6
864,162.0,46000062848,1
865,162.0,46000063050,2
866,162.0,46000063819,2
867,162.0,46000064603,1
868,162.0,46000064891,1
869,162.0,46000064903,8
870,162.0,46000064940,2
871,162.0,46000065008,1
872,162.0,46000065097,1
873,162.0,48000004791,1
874,162.0,48000006773,2
875,162.0,48000037963,2
876,163.0,00449791900,5
877,163.0,28452000000,4
878,163.0,46000005678,1
879,163.0,46000007289,1
880,163.0,46000007476,1
881,163.0,46000008373,1
882,163.0,46000010510,5
883,163.0,46000010550,1
884,163.0,46000012679,5
885,163.0,46000018073,4
886,163.0,46000018074,2
887,163.0,46000018075,6
888,163.0,46000022022,1
889,163.0,46000024076,1
890,163.0,46000024575,1
891,163.0,46000026987,1
892,163.0,46000028877,1
893,163.0,46000028908,1
894,163.0,46000029060,2
895,163.0,46000029306,1
896,163.0,46000029309,2
897,163.0,46000055733,1
898,163.0,46000055892,1
899,163.0,46000055930,1
900,163.0,46000055943,1
901,163.0,46000056506,2
902,163.0,46000059365,1
903,163.0,46000059671,1
904,163.0,46000059993,1
905,163.0,46000060270,2
906,163.0,46000060630,2
907,163.0,46000064022,1
908,163.0,46000064783,1
909,163.0,46000064891,4
910,163.0,46000064940,4
911,163.0,48000006773,2
912,164.0,23527800000,16
913,164.0,27489000000,19
914,164.0,27848700000,19
915,164.0,27994400000,1
916,164.0,28452000000,1
917,164.0,46000003438,11
918,164.0,46000004373,1
919,164.0,46000004909,1
920,164.0,46000005582,1
921,164.0,46000005678,2
922,164.0,46000006607,1
923,164.0,46000007289,2
924,164.0,46000007582,49
925,164.0,46000007600,1
926,164.0,46000007609,5
927,164.0,46000008060,2
928,164.0,46000008373,2
929,164.0,46000010140,1
930,164.0,46000010703,18
931,164.0,46000015079,4
932,164.0,46000016509,2
933,164.0,46000016511,1
934,164.0,46000016512,1
935,164.0,46000017196,8
936,164.0,46000018073,1
937,164.0,46000018075,3
938,164.0,46000018498,1
939,164.0,46000018499,1
940,164.0,46000019851,22
941,164.0,46000020768,15
942,164.0,46000022419,15
943,164.0,46000024076,2
944,164.0,46000025411,26
945,164.0,46000028877,1
946,164.0,46000028908,1
947,164.0,46000028992,1
948,164.0,46000028993,1
949,164.0,46000028994,1
950,164.0,46000028996,1
951,164.0,46000029299,1
952,164.0,46000029305,2
953,164.0,46000029434,2
954,164.0,46000029438,16
955,164.0,46000055714,1
956,164.0,46000055733,1
957,164.0,46000055793,1
958,164.0,46000055812,1
959,164.0,46000055820,1
960,164.0,46000055832,1
961,164.0,46000055842,2
962,164.0,46000055848,1
963,164.0,46000055863,30
964,164.0,46000055892,2
965,164.0,46000055923,2
966,164.0,46000057474,1
967,164.0,46000058382,40
968,164.0,46000059701,17
969,164.0,46000060270,2
970,164.0,46000060414,37
971,164.0,46000060601,14
972,164.0,46000063050,4
973,164.0,46000064022,16
974,164.0,46000064401,2
975,164.0,46000064443,2
976,164.0,46000064571,1
977,164.0,46000064572,1
978,164.0,46000064603,1
979,164.0,46000064878,1
980,164.0,46000064881,1
981,164.0,46000064884,10
982,164.0,46000064940,3
983,164.0,48000004789,17
984,164.0,48000004791,5
985,165.0,23527800000,2
986,165.0,27110600000,1
987,165.0,27848700000,1
988,165.0,46000003438,1
989,165.0,46000007582,1
990,165.0,46000012679,1
991,165.0,46000015079,1
992,165.0,46000017196,2
993,165.0,46000018073,1
994,165.0,46000018075,1
995,165.0,46000020768,1
996,165.0,46000022419,1
997,165.0,46000025411,3
998,165.0,46000029306,2
999,165.0,46000029309,2
1000,165.0,46000055714,2
1001,165.0,46000055923,1
1002,165.0,46000059701,4
1003,165.0,46000060270,2
1004,165.0,46000060414,1
1005,165.0,46000063050,3
1006,165.0,46000063709,1
1007,165.0,46000064022,1
1008,165.0,46000064571,2
1009,165.0,46000064884,1
